VehID,LinkID,Time,Vehicle_type,Av_link_speed,acc,dec_coast,avg_VSP,norm_VSP,NOx,HC,CO,PM,PN,NO,veh_group,link_speed_av
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.203013738293245,0.2814222956503902,1.9204659149378671,0.020511417101469417,23004897737302.105,0.44079555942895854,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,0.897667551291068,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12328167030001985,0.8412917150029932,0.008985363987048536,10077674235374.033,0.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,0.2300834572168906,0.27972185881866574,1.9088618912826536,0.020387481046475645,22865895334055.566,0.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.503013738293245,0.2814222956503902,1.9204659149378671,0.020511417101469417,23004897737302.105,0.44079555942895854,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,0.897667551291068,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12328167030001985,0.8412917150029932,0.008985363987048536,10077674235374.033,0.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,0.2300834572168906,0.27972185881866574,1.9088618912826536,0.020387481046475645,22865895334055.566,0.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.503013738293245,0.2814222956503902,1.9204659149378671,0.020511417101469417,23004897737302.105,0.44079555942895854,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,0.897667551291068,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12328167030001985,0.8412917150029932,0.008985363987048536,10077674235374.033,0.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,0.2300834572168906,0.27972185881866574,1.9088618912826536,0.020387481046475645,22865895334055.566,0.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,0.8163581849253846,0.12243145188415765,0.8354897031753863,0.008923395959551649,10008173033750.764,0.19176604398117833,car,50
