VehID,LinkID,Time,Vehicle_type,Av_link_speed,acc,dec_coast,avg_VSP,norm_VSP,NOx,HC,CO,PM,PN,NO,veh_group,link_speed_av
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.503013738293245,0.503013738293245,0.503013738293245,0.503013738293245,23004897737302.105,0.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,1.897667551291068,1.897667551291068,1.897667551291068,1.897667551291068,10008173033750.764,1.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,2.8163581849253846,2.12328167030001985,2.8412917150029932,2.008985363987048536,10077674235374.033,2.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,3.2300834572168906,3.27972185881866574,3.9088618912826536,3.020387481046475645,22865895334055.566,3.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.503013738293245,0.503013738293245,0.503013738293245,0.503013738293245,23004897737302.105,0.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,1.897667551291068,1.897667551291068,1.897667551291068,1.897667551291068,10008173033750.764,1.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,2.8163581849253846,2.12328167030001985,2.8412917150029932,2.008985363987048536,10077674235374.033,2.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,3.2300834572168906,3.27972185881866574,3.9088618912826536,3.020387481046475645,22865895334055.566,3.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
NA,20939,NA,NA,NA,NA,NA,NA,NA,0.503013738293245,0.503013738293245,0.503013738293245,0.503013738293245,23004897737302.105,0.503013738293245,car,50
NA,20940,NA,NA,NA,NA,NA,NA,NA,1.897667551291068,1.897667551291068,1.897667551291068,1.897667551291068,10008173033750.764,1.897667551291068,car,50
NA,20941,NA,NA,NA,NA,NA,NA,NA,2.8163581849253846,2.12328167030001985,2.8412917150029932,2.008985363987048536,10077674235374.033,2.19309775261993653,car,50
NA,20942,NA,NA,NA,NA,NA,NA,NA,3.2300834572168906,3.27972185881866574,3.9088618912826536,3.020387481046475645,22865895334055.566,3.43813214215144214,car,50
NA,20943,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
NA,20944,NA,NA,NA,NA,NA,NA,NA,4.8163581849253846,4.12243145188415765,4.8354897031753863,4.008923395959551649,10008173033750.764,4.19176604398117833,car,50
